sample_name	subphylum	relative_abundance	subphylum_label
13114.pinto.63.s024	Saccharomycotina	0.011577835387240156	Saccharomycotina
13114.pinto.63.s024	Ustilaginomycotina	0.0005926818926058063	Ustilaginomycotina
13114.rohwer.85.s002	Pezizomycotina	0.0007699863503283896	Pezizomycotina
13114.rohwer.85.s002	Saccharomycotina	0.045562278729925576	Saccharomycotina
13114.rohwer.85.s002	Ustilaginomycotina	0.002371748079097941	Ustilaginomycotina
13114.rohwer.85.s002	Wallemiomycotina	0.0038832027667795948	Wallemiomycotina
13114.rohwer.85.s003	Pezizomycotina	0.001655288709620165	Pezizomycotina
13114.rohwer.85.s003	Saccharomycotina	0.06122654597028575	Saccharomycotina
13114.rohwer.85.s003	Ustilaginomycotina	0.0005884407840557233	Ustilaginomycotina
13114.rohwer.85.s003	Wallemiomycotina	6.697699981122054e-05	Wallemiomycotina
13114.rohwer.85.s004	Saccharomycotina	0.044670266547502314	Saccharomycotina
13114.rohwer.85.s004	Ustilaginomycotina	0.0017621514527165665	Ustilaginomycotina
13114.rohwer.85.s007	Pezizomycotina	0.00010572754971597734	Pezizomycotina
13114.rohwer.85.s007	Saccharomycotina	0.04389615632298805	Saccharomycotina
13114.rohwer.85.s008	Pezizomycotina	0.03712891893241871	Pezizomycotina
13114.rohwer.85.s008	Saccharomycotina	0.21311666472419707	Saccharomycotina
13114.rohwer.85.s016	Pezizomycotina	0.000102306112780008	Pezizomycotina
13114.rohwer.85.s016	Saccharomycotina	0.06329167667135195	Saccharomycotina
13114.rohwer.85.s016	Ustilaginomycotina	0.0014885539409491162	Ustilaginomycotina
13114.rohwer.85.s020	Pezizomycotina	0.0012762061474021415	Pezizomycotina
13114.rohwer.85.s020	Saccharomycotina	0.0097041389519994	Saccharomycotina
13114.rohwer.85.s020	Ustilaginomycotina	0.001690558792662577	Ustilaginomycotina
13114.rohwer.85.s021	Pezizomycotina	0.06883931233059412	Pezizomycotina
13114.rohwer.85.s021	Wallemiomycotina	0.004480155495858441	Wallemiomycotina
13114.rohwer.85.s026	Pezizomycotina	1.1689907315734853	Pezizomycotina
13114.rohwer.85.s027	Pezizomycotina	0.12408170158468047	Pezizomycotina
13114.rohwer.85.s027	Saccharomycotina	0.0038702232063274633	Saccharomycotina
13114.rohwer.85.s027	Wallemiomycotina	0.0018764718576133154	Wallemiomycotina
13114.rohwer.86.s003	Pezizomycotina	8.699445888794113e-05	Pezizomycotina
13114.roy.chowdhury.45.s013	Pezizomycotina	6.175177687650373e-06	Pezizomycotina
13114.roy.chowdhury.45.s013	Saccharomycotina	6.175177687650373e-06	Saccharomycotina
13114.roy.chowdhury.45.s024	Agaricomycotina	0.00012086008873547716	Agaricomycotina
13114.sandin.54.s006	Saccharomycotina	0.15830861672633129	Saccharomycotina
13114.sandin.54.s008	Agaricomycotina	0.00447457678126269	Agaricomycotina
13114.sandin.54.s012	Ustilaginomycotina	0.04077372921209218	Ustilaginomycotina
13114.sandin.54.s015	Saccharomycotina	1.2953368994246028e-05	Saccharomycotina
13114.sandin.54.s015	Ustilaginomycotina	8.635579329497351e-06	Ustilaginomycotina
13114.schmidt.56.s003	Saccharomycotina	5.877250105202777e-05	Saccharomycotina
13114.schmidt.56.s020	Saccharomycotina	0.014483452598023826	Saccharomycotina
13114.schmidt.56.s022	Saccharomycotina	0.004329719545805243	Saccharomycotina
13114.schmidt.56.s023	Agaricomycotina	0.00018814952619145486	Agaricomycotina
13114.schmidt.56.s023	Wallemiomycotina	0.0002481972473163873	Wallemiomycotina
13114.schmidt.56.s026	Wallemiomycotina	0.0012524480188110798	Wallemiomycotina
13114.seedorf.71.s006	Saccharomycotina	7.72562387384175e-05	Saccharomycotina
13114.shade.23.s007	Pezizomycotina	0.000517134848210707	Pezizomycotina
13114.shade.23.s007	Saccharomycotina	0.00016599390189479484	Saccharomycotina
13114.shade.23.s009	Pezizomycotina	0.00012195828416890004	Pezizomycotina
13114.shade.23.s009	Pucciniomycotina	0.00010671349864778752	Pucciniomycotina
13114.smith.39.s003	Pezizomycotina	0.038838115234260784	Pezizomycotina
13114.smith.39.s003	Saccharomycotina	0.008517767328635387	Saccharomycotina
13114.smith.39.s003	Ustilaginomycotina	0.017483201406076895	Ustilaginomycotina
13114.smith.39.s007	Pezizomycotina	0.02065903367753745	Pezizomycotina
13114.smith.39.s007	Ustilaginomycotina	0.004984991700837156	Ustilaginomycotina
13114.song.51.s005	Saccharomycotina	0.0008420453277450481	Saccharomycotina
13114.song.51.s008	Pezizomycotina	0.0014896870590018457	Pezizomycotina
13114.song.52.s001	Pezizomycotina	0.002966262704240329	Pezizomycotina
13114.song.52.s001	Saccharomycotina	0.015452100990105948	Saccharomycotina
13114.song.52.s001	Taphrinomycotina	2.50317527783994e-05	Taphrinomycotina
13114.song.52.s001	Ustilaginomycotina	0.003381789800361759	Ustilaginomycotina
13114.song.52.s010	Agaricomycotina	0.0020151158880552748	Agaricomycotina
13114.song.52.s010	Pezizomycotina	0.00014693553350403045	Pezizomycotina
13114.song.52.s010	Pucciniomycotina	0.0008516263574519316	Pucciniomycotina
13114.song.52.s010	Saccharomycotina	0.006908968759046655	Saccharomycotina
13114.song.52.s010	Taphrinomycotina	0.00023389737986355863	Taphrinomycotina
13114.song.52.s010	Ustilaginomycotina	5.697500278727711e-05	Ustilaginomycotina
13114.song.52.s013	Agaricomycotina	8.543544395332354e-05	Agaricomycotina
13114.song.52.s013	Saccharomycotina	0.008150541353147066	Saccharomycotina
13114.song.52.s013	Wallemiomycotina	0.0004613513973479471	Wallemiomycotina
13114.song.53.s005	Agaricomycotina	0.0030122119030263866	Agaricomycotina
13114.song.53.s005	Pezizomycotina	0.00013670445256301286	Pezizomycotina
13114.song.53.s005	Saccharomycotina	0.0694529328219707	Saccharomycotina
13114.song.53.s005	Ustilaginomycotina	0.0002734089051260257	Ustilaginomycotina
