sample	abundance	category	empo_1	empo_2	empo_3	empo_4
13114.song.51.s004	32449.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.51.s018	81179.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.52.s008	12339.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.stegen.36.s006	4194.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.stegen.36.s014	538.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.stegen.37.s002	42.0	Sediment (non-saline)	Free-living	Non-saline	Sediment (non-saline)	Sediment (non-saline)
13114.stegen.37.s007	4.0	Sediment (non-saline)	Free-living	Non-saline	Sediment (non-saline)	Sediment (non-saline)
13114.stegen.37.s008	22.0	Sediment (non-saline)	Free-living	Non-saline	Sediment (non-saline)	Sediment (non-saline)
13114.stegen.37.s010	106.0	Sediment (non-saline)	Free-living	Non-saline	Sediment (non-saline)	Sediment (non-saline)
13114.stegen.38.s004	215.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.tait.78.s003	11373.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.thomas.18.s010	5.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s016	3005.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s029	14502.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s030	10157.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s035	2868.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s037	6461.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
